"Row-names","Symbol","T-C___log2FoldChange","T-C___padj","data","C1","C2","C3","C4","T1","T2","T3","T4"
"ENSRNOG00000017253","Ccdc107",-0.407494244999051,0.182920249317178," ",5.69342632308339,5.94808846926101,6.03010598946883,6.17782240289304,5.6484078623156,5.58051228595532,5.24741827133285,5.69301972422738
"ENSRNOG00000017254","Nsun2",-0.0716361298055178,0.925114622139933," ",3.50303318058944,3.71672909254474,3.85484505935888,3.56284765376128,3.58446564559501,3.58784966025313,3.56570644807455,3.63608438215655
"ENSRNOG00000017256","Csprs",-0.405627605867483,NA," ",0,0,0,0,0,0.756171397546499,0,0
"ENSRNOG00000017258","Ica1l",0.0619190642423774,NA," ",1.52584291029544,2.01324909346388,1.99747436360799,2.41331857269211,2.08204812613733,1.61683158547724,2.06643335096257,2.19306633226287
"ENSRNOG00000017259","Tacc3",-0.510953801820381,NA," ",3.09054797792124,3.10303743162437,3.31889680020623,3.27112163087974,2.46668202036372,2.84820163537834,3.00264814870714,2.58541183429005
"ENSRNOG00000017260","Cdr2",-0.213861699304352,0.680223005316," ",4.43796274023528,4.26464308168933,4.2447365003696,4.63217539050778,4.30433997841122,4.24138740140882,4.13587917857511,4.06351672784274
"ENSRNOG00000017265","Tmem131",1.09890282494749,0.0365737285253741," ",4.00327773883335,3.10303743162437,3.31889680020623,2.90505700106373,4.71291569056596,4.3910163675292,4.62028687764331,4.23754979278758
"ENSRNOG00000017272","Mrps27",0.18004381418108,0.819599269561388," ",2.92189743353692,3.33781246848906,3.69733061414405,3.56284765376128,3.73221486832675,3.50271711131983,3.40128875402947,3.45992179377379
"ENSRNOG00000017273","RGD1563917",-0.898474412358544,NA," ",0.955888976426942,1.33253708570291,1.31990793961555,2.41331857269211,0.719679163848423,1.24975165471999,1.18611994618132,0.777832262941357
"ENSRNOG00000017277","Igsf6",-1.70464667281003,NA," ",2.73088929068579,2.47387916348192,3.52048668271296,3.56284765376128,1.19763364086189,1.24975165471999,2.27088736683398,1.94793199463306
"ENSRNOG00000017279","Tmem50a",-0.387272045638323,0.0994432942145408," ",7.11068774004124,7.24152296062953,7.27742395895194,7.7494379918192,7.00475648731148,6.93386089350712,6.86324054265393,7.04180310903828
"ENSRNOG00000017282","Tesk2",-0.104919359409588,NA," ",2.5106765642962,2.82248684954276,2.80446811925906,1.66151763179207,2.62632841557738,2.70310499349368,2.27088736683398,2.19306633226287
"ENSRNOG00000017283","Kcnt1",1.16877323227982,NA," ",2.25068820939312,2.01324909346388,1.31990793961555,1.66151763179207,3.13122549985147,2.70310499349368,2.88303386937755,2.58541183429005
"ENSRNOG00000017284","Nop16",-0.776918003620134,0.0696543117680604," ",4.61437789520552,5.03946684811377,5.01910307780892,5.8392232927255,4.48187498798408,4.48278860639274,4.2849060364872,4.34290480619212
"ENSRNOG00000017285","Tab1",0.351948822555355,NA," ",2.73088929068579,2.47387916348192,2.45667615953896,2.41331857269211,3.02058636635697,2.98002973018284,2.75259838798667,2.58541183429005
"ENSRNOG00000017286","Ephx2",-1.12696161402378,NA," ",0.955888976426942,0,0,0,0,0,0.71167093792883,0
"ENSRNOG00000017290","Zfp335",0.748730331276866,NA," ",2.5106765642962,2.47387916348192,1.99747436360799,1.66151763179207,3.02058636635697,2.84820163537834,2.88303386937755,2.74769282195732
"ENSRNOG00000017291","Sord",-0.275607080396943,0.585843766672595," ",4.16317197066233,4.37433512861933,4.55136385368544,4.75285003096457,4.10185124762578,4.07442457555525,4.18728436190234,4.34290480619212
"ENSRNOG00000017294","Zranb1",-1.5819494283325,0.000939033875565091," ",5.12233657718951,6.23657174010524,6.18650225717413,7.07827316955813,4.63993731739756,4.72754419638111,4.46232026727742,5.081911587969
"ENSRNOG00000017295","Sh3glb2",0.188493130408407,0.599320051141699," ",5.55609069415643,5.58712504041152,5.26350563503491,5.53708845387943,5.79005583331834,5.82805258615228,5.40770922770654,5.65260515963578
"ENSRNOG00000017297","Cab39",-0.0400495088586783,0.90727830934834," ",6.10147709769809,6.05079388181263,6.27279942120294,6.13405090056094,6.07942128645522,6.14137647938772,6.03138816196578,6.15027871026142
"ENSRNOG00000017298","Cutc",0.0148926017473905,NA," ",2.25068820939312,2.47387916348192,2.45667615953896,2.90505700106373,2.46668202036372,2.54176682048718,2.60918725059878,2.40253563482961
"ENSRNOG00000017299","Phrf1",0.684712182753603,0.348192142629616," ",3.24153069449549,2.47387916348192,2.80446811925906,2.41331857269211,3.41984040469861,3.50271711131983,3.48583858098504,3.36305685110139
"ENSRNOG00000017307","Prss23",-0.0866447048648354,0.918336436392783," ",3.91615348986154,3.10303743162437,3.52048668271296,3.56284765376128,3.73221486832675,3.31571569355352,3.71328850845735,3.14731970635557
"ENSRNOG00000017309","Rsrp1",-0.136579889873932,0.646526129688546," ",6.45053919571247,6.74539361323738,6.48048495890609,6.26157210541759,6.55675847557123,6.33850073786341,6.17836366398251,6.36560523006586
"ENSRNOG00000017310","Rnpc3",-0.393617605671383,0.494892876993796," ",3.82342772734509,3.87440999862249,3.99684226304938,4.01296541855242,3.41984040469861,3.66823728488624,3.56570644807455,3.55069024605896
"ENSRNOG00000017311","Me3",0.044586138116807,NA," ",2.73088929068579,2.47387916348192,3.31889680020623,2.90505700106373,2.90075238056756,2.84820163537834,2.75259838798667,3.14731970635557
"ENSRNOG00000017318","Zfp322a",-0.724543857356752,0.309610735472735," ",3.24153069449549,3.10303743162437,3.69733061414405,3.27112163087974,2.62632841557738,2.54176682048718,2.75259838798667,2.89355140891824
"ENSRNOG00000017319","Mertk",-0.0845619836286651,NA," ",3.24153069449549,3.10303743162437,3.08449104497935,2.90505700106373,3.02058636635697,2.98002973018284,3.11309998781388,3.02600807093504
"ENSRNOG00000017321","Trub1",-0.534845798775412,NA," ",1.93331716602834,2.01324909346388,2.45667615953896,1.66151763179207,1.842883542693,1.61683158547724,1.5425549484562,1.65244434354464
