"","","Cluster","C1","C2","C3","C4","T1","T2","T3","T4"
"ENSRNOG00000058269","","A","0.732063088890932","1.17327844323518","2.17214099658075","1.26417475951422","-0.624682618090438","-3.09136463845416","-0.482177387855379","-1.1434326438211"
"ENSRNOG00000053089","AABR07005004.1","A","0.507539588135251","-1.74314862125787","0.713527538281095","3.4112993378581","-1.74314862125787","-0.126317035780625","-0.557028675076549","-0.462723510901533"
"ENSRNOG00000057887","U2","A","0.147199657618789","0.999548879850039","0.981002493205021","2.96054795165354","-1.38380938792591","-2.10348855177433","-0.275344753794172","-1.32565628883297"
"ENSRNOG00000011557","S100a8","A","0.559067034005719","0.896422908667633","2.01316538308645","1.45669522712924","-2.93043180641572","-0.0902633817244602","-0.224246737711582","-1.68040862703728"
"ENSRNOG00000058301","7SK","A","-0.2683095615988","1.52038336684046","0.994114193225094","2.61506371649987","-1.80362484622473","-1.49432103822431","0.135270563767078","-1.69857639428467"
"ENSRNOG00000032609","AY172581.18","A","-1.81091446852039","0.662964694961525","1.88641614562365","1.75193318524088","-1.81091446852039","1.28989950471087","-1.81091446852039","-0.15847012497575"
"ENSRNOG00000061201","U1","A","0.98543547414697","0.728284878761491","1.72299839579208","2.32030395212113","-1.77409135520907","-1.01984784725074","-1.58362484715164","-1.37945865121023"
"ENSRNOG00000026716","LOC100360449","A","-1.19889235086606","1.29822608028075","1.23977897340157","1.90999546150505","-1.44586567833351","-2.21700379747268","1.44016224361089","-1.02640093212602"
"ENSRNOG00000056382","","A","0.89091385771481","0.514435624978522","1.1008675837616","2.70060488069327","-1.82760599128483","-1.40840804666948","-1.83911968596541","-0.131688223228487"
"ENSRNOG00000030174","AABR07042903.1","A","-0.00728838510499985","-1.40564059008788","2.28092540201813","2.50134838444273","-0.451032082713665","-0.82897689051288","-0.128990425192009","-1.96034541284943"
"ENSRNOG00000054184","U2","A","-0.0669580305779043","0.934958457291662","2.14290853493164","2.24442237747035","-1.60555439131295","-1.65319056360724","-0.606989109765241","-1.38959727443031"
"ENSRNOG00000054659","AC141152.2","A","-0.638062270454518","0.93913225087441","2.56077403117483","1.64148508650695","-1.44422601690154","-0.0117178300565506","-2.16390518074996","-0.883480070393624"
"ENSRNOG00000014815","Myoz2","A","3.69393751187318","-0.974756782734369","-0.974756782734369","0.686760849057701","-0.974756782734369","-0.21858538518787","-0.263085844805539","-0.974756782734369"
"ENSRNOG00000058944","SNORA71","A","0.451404839471981","0.183343711093493","1.60559336192033","2.5153048206667","-0.557095012311937","-2.63914313844926","-0.57270978748669","-0.98669879490462"
"ENSRNOG00000059686","","A","-0.391547522174603","-0.0148994128986373","1.45703162065752","3.15304136264058","-1.34743649860155","-1.34743649860155","-0.161316552420225","-1.34743649860155"
"ENSRNOG00000060539","AC120949.4","A","-0.446616438131791","0.981102992628319","1.09036480821127","3.04389646473431","-1.55155750213613","-1.54042691011803","-0.784921268096891","-0.791842147091057"
