Identifier,C1,C2,C3,C4,T1,T2,T3,T4
ENSRNOG00000058007,13.36175252,10.26498941,9.05430748,5.25016128,12.60036194,14.87127341,18.31659463,12.6027527
ENSRNOG00000052523,0,0,0,0,0,0,0,0
ENSRNOG00000056248,37.26026844,25.25702536,21.14802075,7.059251413,51.10577535,45.57727538,51.30240311,47.86203444
ENSRNOG00000060322,0,0,0,0,0,0,0,0
ENSRNOG00000053079,0.640262869,1.445656033,1.288345478,0.242228592,1.386290099,1.309649126,1.722149102,0.711404765
ENSRNOG00000052185,0,0,0,0,0,0,0,0
ENSRNOG00000050873,0,0,0,0,0,0,0,0
ENSRNOG00000056130,0.598712852,1.18545954,0,0.478185893,1.986306672,0.727141353,2.012987261,1.995713928
ENSRNOG00000002912,7.040768853,3.904011589,4.589633763,2.485573989,8.083998007,10.10580741,11.16091205,7.774046227
ENSRNOG00000061035,0,0,0,0,0,0,0,0
ENSRNOG00000003151,14.2953257,10.07576252,11.05129588,7.379950364,18.83734745,20.37061632,17.73964149,15.43734923
ENSRNOG00000003164,0,0,0,0.333166721,0,0,0,0
ENSRNOG00000053206,0.066404261,0.087654223,0,0.265182055,0,0.161296969,0.357222147,0.442696054
ENSRNOG00000060803,1.218902226,1.072641282,1.010322705,0.10816943,0,1.809336354,0.364282907,0.601928359
ENSRNOG00000050441,0.045792641,0,0,0.109722357,0.303845922,0,0.123170904,0
ENSRNOG00000057886,0,0.555010603,0.196037048,0,0.836957402,0.765977312,1.413666054,1.868713951
ENSRNOG00000048247,0,0,0,0,0,0,0,0
ENSRNOG00000057978,1.106851195,0.626165808,0,0,2.098354741,2.880598438,5.316350972,5.973495878
ENSRNOG00000057152,0.124917131,0.577121086,0,0.049885024,1.077514369,0,0,0.13879712
ENSRNOG00000040121,0.152642138,0,0.14233713,0,0,0.185385048,0.20528484,0
ENSRNOG00000050955,0.26929006,1.51072755,0.125555023,0.9678566,0.536042587,0.327054845,0,0
ENSRNOG00000048121,4.971012372,2.482836102,2.944114846,2.092453957,12.0792545,10.93246728,11.42841722,8.434318959
ENSRNOG00000030214,0,0.517382765,0.243661867,1.043498877,0,0.317354065,0,0
ENSRNOG00000032482,0,0,0,0,0,0,0,0
ENSRNOG00000003326,12.26102009,7.260138695,6.750493114,4.844287195,16.32870125,14.38945236,15.90482288,14.73451306
ENSRNOG00000051382,49.07307125,46.99500319,41.87199073,46.9305298,57.54614187,58.97635763,59.0955546,61.58202979
ENSRNOG00000002407,13.95020131,6.504951026,7.134759118,4.202251276,18.21761075,19.03514217,20.03198491,19.18491431
